gold_incident_group,gold_date,gold_country,gold_function,gold_activity,top_canonical_id,top_score,second_score,score_margin,lexical_similarity,date_match,country_match,decision,rejection_reason,lsr_labels,source_document,source_page
GRP-Safety performa-P10,,,,,OILPS_IOGP_SPI_0016,0.0082,0.0074,0.0008,0.0546,False,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Safe Mechanical Lifting""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P100,14 May 2024,azerbaijan,,,OILPS_IOGP_HPE_0084,0.207,0.2065,0.0005,0.0466,False,True,REJECTED,Insufficient evidence,"[""Bypassing Safety Controls"", ""Line of Fire""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P101,18 May 2024,azerbaijan,unspecified,,OILPS_IOGP_HPE_0080,0.2,0.2,0.0,0.0,False,True,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Safe Mechanical Lifting""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P102,,,,,OILPS_IOGP_HPE_0042,0.0104,0.0066,0.0038,0.0695,False,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Safe Mechanical Lifting""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P103,08 Oct 2024,azerbaijan,drilling,,OILPS_IOGP_HPE_0080,0.35,0.35,0.0,0.0,False,True,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Safe Mechanical Lifting""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P105,21 Dec 2024,azerbaijan,production,,OILPS_IOGP_HPE_0084,0.358,0.3569,0.0011,0.0534,False,True,REJECTED,Insufficient evidence,"[""Bypassing Safety Controls"", ""Hot Work""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P106,20 Sep 2024,azerbaijan,production,,OILPS_IOGP_HPE_0083,0.35,0.35,0.0,0.0,False,True,REJECTED,Insufficient evidence,"[""Line of Fire""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P108,16 May 2024,azerbaijan,production,,OILPS_IOGP_HPE_0083,0.35,0.35,0.0,0.0,False,True,REJECTED,Insufficient evidence,"[""Bypassing Safety Controls"", ""Work Authorization""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P109,09 Oct 2024,azerbaijan,,,OILPS_IOGP_HPE_0084,0.2062,0.2058,0.0004,0.0411,False,True,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Safe Mechanical Lifting""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P11,,,,,OILPS_IOGP_HPE_0012,0.0231,0.0164,0.0067,0.1542,False,False,REJECTED,Insufficient evidence,"[""Driving"", ""Line of Fire"", ""Energy Isolation""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P110,07 Dec 2024,argentina,drilling,,OILPS_IOGP_HPE_0085,0.2,0.2,0.0,0.0,False,True,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Safe Mechanical Lifting""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P111,,,,,OILPS_IOGP_HPE_0085,0.0131,0.0067,0.0064,0.0871,False,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Work Authorization""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P112,,,,,OILPS_IOGP_SPI_0177,0.009,0.0085,0.0005,0.0597,False,False,REJECTED,Insufficient evidence,"[""Hot Work""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P113,02 Apr 2024,,drilling,,OILPS_IOGP_HPE_0088,0.1827,0.1542,0.0285,0.2183,False,False,REJECTED,Insufficient evidence,"[""Bypassing Safety Controls"", ""Line of Fire""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P114,08 Jan 2024,,drilling,,OILPS_IOGP_HPE_0001,0.15,0.15,0.0,0.0,False,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Hot Work""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P115,02 Feb 2024,,production,,OILPS_IOGP_SPI_0208,0.1595,0.1582,0.0013,0.0635,False,False,REJECTED,Insufficient evidence,"[""Line of Fire""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P116,19 Apr 2024,,production,,OILPS_IOGP_SPI_0185,0.1588,0.1585,0.0003,0.0589,False,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Safe Mechanical Lifting""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P117,,,,,OILPS_IOGP_HPE_0079,0.018,0.015,0.003,0.1202,False,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Safe Mechanical Lifting""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P118,01 Mar 2024,trinidad and tobago,production,,OILPS_IOGP_FATAL_0188,0.35,0.15,0.2,0.0,False,True,REJECTED,Insufficient evidence,"[""Energy Isolation"", ""Work Authorization""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P12,,,,,OILPS_IOGP_HPE_0008,0.0655,0.0185,0.047,0.4368,False,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Safe Mechanical Lifting""]",Safety performance indicators – 2024 data.pdf,
