source_record_id,max_score,second_score,score_margin,predicted_label_count,predicted_labels,confidence,decision,provenance,lsr_prob_bypassing_safety_controls,lsr_prob_confined_space,lsr_prob_driving,lsr_prob_energy_isolation,lsr_prob_hot_work,lsr_prob_line_of_fire,lsr_prob_safe_mechanical_lifting,lsr_prob_work_authorization,lsr_prob_working_at_height
HPE_P006,0.0007,0.0001,0.0006,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0007
HPE_P007,0.011,0.0018,0.0092,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0001,0.0,0.0018,0.011,0.0001,0.0,0.0,0.0011
HPE_P008,0.0399,0.0003,0.0396,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0001,0.0,0.0399,0.0003,0.0,0.0,0.0,0.0002
HPE_P009,0.0005,0.0001,0.0004,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0,0.0005,0.0001,0.0,0.0,0.0,0.0
HPE_P011,0.0002,0.0002,0.0,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0,0.0002,0.0001,0.0001,0.0002,0.0,0.0002
HPE_P000,0.0054,0.0006,0.0048,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0054,0.0,0.0,0.0001,0.0,0.0,0.0006
HPE_P012,0.0028,0.0002,0.0026,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0001,0.0002,0.0,0.0001,0.0,0.0,0.0028
HPE_P013,0.0523,0.0091,0.0432,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0001,0.0523,0.0,0.0078,0.0002,0.0091,0.0001,0.0004
HPE_P014,0.0001,0.0001,0.0,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001
HPE_P015,0.0033,0.0005,0.0028,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0,0.0033,0.0002,0.0,0.0001,0.0,0.0005
HPE_P016,0.0549,0.0001,0.0548,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0,0.0001,0.0,0.0,0.0549,0.0,0.0001
HPE_P017,0.0242,0.0001,0.0241,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0,0.0242,0.0001,0.0,0.0,0.0,0.0
HPE_P018,0.0372,0.009,0.0282,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0004,0.0002,0.0,0.0,0.0372,0.0001,0.009
HPE_P019,0.1774,0.0082,0.1692,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0001,0.0001,0.1774,0.0001,0.0,0.0004,0.0,0.0,0.0082
HPE_P020,0.0074,0.0005,0.0069,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0,0.0001,0.0005,0.0,0.0074,0.0,0.0
HPE_P000,0.0087,0.0004,0.0083,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0,0.0087,0.0,0.0004,0.0001,0.0,0.0001
HPE_P021,0.0008,0.0007,0.0001,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0007,0.0,0.0008
HPE_P022,0.0086,0.0001,0.0085,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0086
HPE_P000,0.0017,0.0008,0.0009,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0017,0.0,0.0008
HPE_P023,0.0053,0.0008,0.0045,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0,0.0003,0.0053,0.0001,0.0,0.0,0.0008
HPE_P024,0.0022,0.0004,0.0018,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0,0.0,0.0004,0.0,0.0022,0.0,0.0003
HPE_P000,0.0019,0.0005,0.0014,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0019
HPE_P026,0.0002,0.0001,0.0001,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0002,0.0,0.0001,0.0,0.0,0.0001,0.0001
HPE_P027,0.0014,0.0008,0.0006,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0,0.0001,0.0008,0.0002,0.0,0.0,0.0014
HPE_P028,0.0016,0.0008,0.0008,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0,0.0016,0.0008,0.0,0.0,0.0,0.0007
HPE_P029,0.0007,0.0004,0.0003,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0,0.0004,0.0007,0.0001,0.0002,0.0,0.0003
HPE_P030,0.0142,0.0015,0.0127,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0,0.0015,0.0001,0.0005,0.0,0.0,0.0142
HPE_P031,0.0002,0.0002,0.0,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0,0.0,0.0001,0.0,0.0002,0.0,0.0002
HPE_P032,0.0001,0.0,0.0001,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001
HPE_P000,0.0013,0.0,0.0013,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0,0.0,0.0013,0.0,0.0,0.0,0.0
HPE_P033,0.0001,0.0001,0.0,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0001
