run_id,delta_precision,delta_recall,delta_f1,delta_pr_auc,delta_roc_auc,delta_false_negatives
1,0.0,0.0,0.0,0.0008,0.0001,0
2,0.0157,0.0,0.0087,-0.0022,-0.0001,0
3,-0.0017,-0.0196,-0.0101,-0.0006,-0.0001,1
4,0.0142,0.0,0.0082,0.0007,0.0001,0
5,-0.0334,0.0,-0.0174,-0.0006,0.0006,0
6,0.0,0.0,0.0,0.0012,0.0002,0
7,0.0,0.0,0.0,0.0007,0.0005,0
8,-0.0144,0.0,-0.0084,-0.0011,-0.0001,0
9,0.0,0.0,0.0,-0.0019,-0.0001,0
10,0.0,0.0,0.0,0.0011,0.0001,0
11,-0.0148,0.0196,0.0014,0.0037,0.0008,-1
12,0.0168,0.0,0.0088,0.0,0.0001,0
13,-0.0014,-0.0196,-0.0103,-0.0008,0.0,1
14,-0.0188,-0.0196,-0.0192,-0.0019,-0.0002,1
15,0.0303,0.0,0.0171,-0.0011,0.0,0
