threshold,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,false_negatives,false_positives,true_positives,true_negatives,run_id,model_type
0.5,0.98,0.9608,0.9703,0.9996,0.9945,0.9797,2,1,49,718,1,REAL_ONLY
0.5,0.8772,0.9804,0.9259,0.9993,0.9918,0.9853,1,7,50,712,2,REAL_ONLY
0.5,0.9091,0.9804,0.9434,0.9993,0.9896,0.9867,1,5,50,714,3,REAL_ONLY
0.5,0.8333,0.9804,0.9009,0.9984,0.9816,0.9832,1,10,50,709,4,REAL_ONLY
0.5,0.9038,0.9216,0.9126,0.9956,0.967,0.9573,4,5,47,713,5,REAL_ONLY
0.5,0.9245,0.9608,0.9423,0.9986,0.9858,0.9776,2,4,49,715,6,REAL_ONLY
0.5,0.8596,0.9608,0.9074,0.996,0.9734,0.9748,2,8,49,711,7,REAL_ONLY
0.5,0.8644,1.0,0.9273,0.9997,0.9963,0.9944,0,8,51,711,8,REAL_ONLY
0.5,0.8947,1.0,0.9444,0.9992,0.9888,0.9958,0,6,51,713,9,REAL_ONLY
0.5,0.9412,0.9412,0.9412,0.9993,0.9905,0.9685,3,3,48,715,10,REAL_ONLY
0.5,0.9057,0.9412,0.9231,0.9961,0.9702,0.9671,3,5,48,714,11,REAL_ONLY
0.5,0.8889,0.9412,0.9143,0.9984,0.9832,0.9664,3,6,48,713,12,REAL_ONLY
0.5,0.9245,0.9608,0.9423,0.9992,0.9892,0.9776,2,4,49,715,13,REAL_ONLY
0.5,0.9245,0.9608,0.9423,0.9988,0.9874,0.9776,2,4,49,715,14,REAL_ONLY
0.5,0.8644,1.0,0.9273,0.9995,0.9936,0.9944,0,8,51,710,15,REAL_ONLY
0.5,0.98,0.9608,0.9703,0.9997,0.9953,0.9797,2,1,49,718,1,REAL_PLUS_SYNTHETIC
0.5,0.8929,0.9804,0.9346,0.9992,0.9896,0.986,1,6,50,713,2,REAL_PLUS_SYNTHETIC
0.5,0.9074,0.9608,0.9333,0.9992,0.989,0.9769,2,5,49,714,3,REAL_PLUS_SYNTHETIC
0.5,0.8475,0.9804,0.9091,0.9985,0.9823,0.9839,1,9,50,710,4,REAL_PLUS_SYNTHETIC
0.5,0.8704,0.9216,0.8952,0.9962,0.9664,0.9559,4,7,47,711,5,REAL_PLUS_SYNTHETIC
0.5,0.9245,0.9608,0.9423,0.9988,0.987,0.9776,2,4,49,715,6,REAL_PLUS_SYNTHETIC
0.5,0.8596,0.9608,0.9074,0.9965,0.9741,0.9748,2,8,49,711,7,REAL_PLUS_SYNTHETIC
0.5,0.85,1.0,0.9189,0.9996,0.9952,0.9937,0,9,51,710,8,REAL_PLUS_SYNTHETIC
0.5,0.8947,1.0,0.9444,0.9991,0.9869,0.9958,0,6,51,713,9,REAL_PLUS_SYNTHETIC
0.5,0.9412,0.9412,0.9412,0.9994,0.9916,0.9685,3,3,48,715,10,REAL_PLUS_SYNTHETIC
0.5,0.8909,0.9608,0.9245,0.9969,0.9739,0.9762,2,6,49,713,11,REAL_PLUS_SYNTHETIC
0.5,0.9057,0.9412,0.9231,0.9985,0.9832,0.9671,3,5,48,714,12,REAL_PLUS_SYNTHETIC
0.5,0.9231,0.9412,0.932,0.9992,0.9884,0.9678,3,4,48,715,13,REAL_PLUS_SYNTHETIC
0.5,0.9057,0.9412,0.9231,0.9986,0.9855,0.9671,3,5,48,714,14,REAL_PLUS_SYNTHETIC
0.5,0.8947,1.0,0.9444,0.9995,0.9925,0.9958,0,6,51,712,15,REAL_PLUS_SYNTHETIC
