task,tag,embed_dim,hidden_dim,dropout,lr,bidirectional,val_f1,val_sif_recall,val_pr_auc,val_roc_auc,tuned_threshold,val_micro_f1,val_macro_f1,val_hamming_loss,val_exact_match,per_rule_thresholds
SIF,SIF_Cfg1_Base,100,128,0.3,0.001,True,0.9494949494949495,0.94,0.9855967222779367,0.9574285714285714,0.49999999999999994,,,,,
SIF,SIF_Cfg2_LargeBi,200,256,0.3,0.0005,True,0.9285714285714286,0.91,0.9839624367091829,0.9477142857142857,0.3,,,,,
SIF,SIF_Cfg3_MidBi,200,128,0.2,0.0005,True,0.9556650246305419,0.97,0.9917644897537516,0.9737142857142858,0.3,,,,,
SIF,SIF_Cfg4_RegBi,100,128,0.5,0.0005,True,0.9214659685863874,0.88,0.9806092741834889,0.9385714285714285,0.35,,,,,
SIF,SIF_Cfg5_DeepBi,200,256,0.2,0.0002,True,0.9222797927461139,0.89,0.9773624769250999,0.9317142857142858,0.35,,,,,
LSR,LSR_Cfg1_Base,100,128,0.3,0.001,True,,,,,,0.6714285714285714,0.4596074707185818,0.03842940685045948,0.6992481203007519,"{'Bypassing Safety Controls': 0.5, 'Confined Space': 0.5, 'Driving': 0.7, 'Energy Isolation': 0.44999999999999996, 'Hot Work': 0.44999999999999996, 'Line of Fire': 0.44999999999999996, 'Safe Mechanical Lifting': 0.5999999999999999, 'Toxic Gas / Hazardous Substance': 0.5, 'Working at Height': 0.49999999999999994}"
LSR,LSR_Cfg2_LargeBi,200,256,0.3,0.0005,True,,,,,,0.7286821705426356,0.4876399320843766,0.029239766081871343,0.7669172932330827,"{'Bypassing Safety Controls': 0.5, 'Confined Space': 0.5, 'Driving': 0.39999999999999997, 'Energy Isolation': 0.7, 'Hot Work': 0.2, 'Line of Fire': 0.5499999999999999, 'Safe Mechanical Lifting': 0.5999999999999999, 'Toxic Gas / Hazardous Substance': 0.5, 'Working at Height': 0.35}"
LSR,LSR_Cfg3_MidBi,200,128,0.2,0.0005,True,,,,,,0.640625,0.43447605160853797,0.03842940685045948,0.6917293233082706,"{'Bypassing Safety Controls': 0.5, 'Confined Space': 0.5, 'Driving': 0.25, 'Energy Isolation': 0.49999999999999994, 'Hot Work': 0.5999999999999999, 'Line of Fire': 0.5499999999999999, 'Safe Mechanical Lifting': 0.6499999999999999, 'Toxic Gas / Hazardous Substance': 0.5, 'Working at Height': 0.6499999999999999}"
LSR,LSR_Cfg4_RegBi,100,128,0.4,0.0005,True,,,,,,0.5605095541401274,0.39819074318491277,0.05764411027568922,0.6165413533834586,"{'Bypassing Safety Controls': 0.5, 'Confined Space': 0.5, 'Driving': 0.49999999999999994, 'Energy Isolation': 0.5499999999999999, 'Hot Work': 0.7, 'Line of Fire': 0.49999999999999994, 'Safe Mechanical Lifting': 0.7, 'Toxic Gas / Hazardous Substance': 0.5, 'Working at Height': 0.35}"
LSR,LSR_Cfg5_DeepBi,200,256,0.2,0.0002,True,,,,,,0.6122448979591837,0.43044980714357406,0.047619047619047616,0.6541353383458647,"{'Bypassing Safety Controls': 0.5, 'Confined Space': 0.5, 'Driving': 0.44999999999999996, 'Energy Isolation': 0.44999999999999996, 'Hot Work': 0.25, 'Line of Fire': 0.49999999999999994, 'Safe Mechanical Lifting': 0.7, 'Toxic Gas / Hazardous Substance': 0.5, 'Working at Height': 0.25}"
